"param_name","metric","periods","hd_summary"
"hd_contacts_test_from_notified_median","med","E","yes"
"hd_cases_positive_from_test_mean_median","med","B","yes"
"hd_cases_reached_from_positive_mean_median","med","C","yes"
"hd_contacts_reached_from_named_mean_median","med","D","yes"
"cases_positive_from_test_mean","mean","B","no"
"cases_positive_from_test_med","med","B","no"
"hd_cases_positive_from_test_mean_mean","mean","B","yes"
"cases_reached_from_exposure_mean","mean","ABC","no"
"cases_reached_from_symptom_mean","mean","ABC","sympt"
"cases_reached_from_symptom_med","med","ABC","sympt"
"cases_reached_from_test_mean","mean","BC","no"
"cases_reached_from_test_med","med","BC","no"
"hd_cases_reached_from_positive_mean_mean","mean","C","yes"
"cases_reached_from_positive_max","max","C","no"
"cases_reached_from_positive_med","med","C","no"
"contacts_reached_from_exposure_mean","mean","ABCD","no"
"contacts_reached_from_exposure_med","med","ABCD","no"
"contacts_reached_from_symptom_med","med","ABCD","sympt"
"contacts_reached_from_test_mean","mean","BCD","no"
"contacts_reached_from_test_med","med","BCD","no"
"contacts_reached_from_named_mean","mean","D","no"
"contacts_reached_from_named_med","med","D","no"
"hd_contacts_reached_from_named_mean_mean","mean","D","yes"
"hd_contacts_test_from_notified_mean","mean","E","yes"
