"","days","prob_gt","variant"
"1",0,0.0785838451490782,"alpha"
"2",1,0.114854958667334,"alpha"
"3",2,0.121444577708627,"alpha"
"4",3,0.116504823193592,"alpha"
"5",4,0.105758592701557,"alpha"
"6",5,0.0924027168516364,"alpha"
"7",6,0.0784018463865992,"alpha"
"8",7,0.0649514006251042,"alpha"
"9",8,0.0527271542700974,"alpha"
"10",9,0.0420508538799802,"alpha"
"11",10,0.0330095316027576,"alpha"
"12",11,0.099309698963638,"alpha"
"13",0,0.0883599047395883,"delta"
"14",1,0.134571298609915,"delta"
"15",2,0.141655206451185,"delta"
"16",3,0.13260589360782,"delta"
"17",4,0.11587000323627,"delta"
"18",5,0.0964000420538179,"delta"
"19",6,0.0771713906604794,"delta"
"20",7,0.0598292467982959,"delta"
"21",8,0.0451167022730568,"delta"
"22",9,0.033195947622295,"delta"
"23",10,0.023888035887125,"delta"
"24",11,0.0513363280601516,"delta"
"25",0,0.0412760180572632,"omicron"
"26",1,0.0756305687326097,"omicron"
"27",2,0.0917631803256575,"omicron"
"28",3,0.0982497552574317,"omicron"
"29",4,0.0981186923534799,"omicron"
"30",5,0.0934278545680541,"omicron"
"31",6,0.085784065822525,"omicron"
"32",7,0.0764636464367682,"omicron"
"33",8,0.0664548074940323,"omicron"
"34",9,0.0564877726236399,"omicron"
"35",10,0.0470675426021612,"omicron"
"36",11,0.169276095726377,"omicron"
